,Kharagpur Exp,22876,Purulia,Kharagpur,87A,Koyna Exp,11029/11030,Chhatrapati Shivaji,Chhatrapati Shahu,19
TAG-26,Kharagpur Exp,22604,Villupuram,Kharagpur,7A,,Maharaj (T),Maharaj (T),,
,Kishanganj Exp,15716,Ajmer,Kishanganj,"18,23A,25",Krishak Exp,15007/15008,Banaras City,Lucknow Jn.,"22,63"
,,,,,36,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Krishna Exp,17405/17406,Tirupati,Adilabad,71,lntercity Exp,18011/18012,Howrah,Chakradharpur,87,
Kriya Yoga Exp,18615/18616,Howrah,Hatia,87,lntercity Exp,18013/18014,Adra,Bokaro Steel City,87,
Kulik Exp,13053/13054,Howrah,Radhikapur,14,lntercity Exp,18019/18020,Jhargram,Dhanbad,87,
Kumbha Exp,12369/12370,Howrah,Dehradoon,12,lntercity Exp,18021/18022,Kharagpur,Khurda Road,29,
Kurseona Passenger,52588,Darjeeling,Kurseona,95,lntercity Exp,18023/18024,Kharagpur,NSCB Gomoh,87,
Kushinagar Exp,22537/22538,Lokmanya Tilak (T),Gorakhpur,35,lntercity Exp,18027/18028,Kharagpur,Asansol,87,
Kutch Exp,22955/22956,Bandra (T),Bhuj,11,lntercity Exp,18033/18034,Howrah,Ghatsila,87,
Kuvempu Exp,16221/16222,Mysuru,Talguppa,19,lntercity Exp,18035/18036,Kharagpur,Hatia,87,
Kushtagi Exp,17327/17328,SSS Hubballi,Kushtagi,49,lntercity Exp,18037/18038,Kharagpur,Jajpur Keonjhar,29,
Lachit Exp,15613/15614,Guwahati,Murkona Selek,62,lntercity Exp,18043/18044,Howrah,Bhadrak,29,
Lalaola Exp,13117,Kolkata,Lalaola,14,lntercity Exp,18085/18086,Kharagpur,Ranchi,87,
Lalbagh Exp,12607/12608,MGR Chennai,KSR Bengaluru,20,lntercity Exp,18105/18106,Telengana,Itwari,5,
,,Central,,,lntercity Exp,18113/18114,Tatanagar,Bilaspur,5,
Lalgarh Exp,14703,Jaisalmer,Lalgarh,59,lntercity Exp,18115/18116,NSCB Gomoh,Chakradharpur,87,
Lalkuan Exp,12353,Howrah,Lalkuan,"12,55",lntercity Exp,18125/18126,Rourkela,Puri,32,
Lalkuan Exp,14616,Amritsar,Lalkuan,12.55,lntercity Exp,18175/18176,Hatia,Jharsuguda,78,
Lalkuan Exp,15016/15015,Lalkuan,Amritsar,"12,55",lntercity Exp,18403/18404,Rourkela,BarbiI,32,
Lalmati Exp,12865/12866,Howrah,Purulia,87,lntercity Exp,18627/18628,Howrah,Ranchi Junction,87,
Lashkar Exp,12161/12162,Lokmanya Tilak (T),Agra Cantt.,2,lntercity Exp,19035/19036,Vadodara,Ahmedabad,11,
Latur Exp,22107/22108,Chhatrapati Shivaji,Latur,53,lntercity Exp,22471/22472,Bikaner,Delhi Sarai Rohilla,59,
,,Maharaj (T),,,lntercity Exp,22609/22610,Mangaluru Central,Coimbatore,86,
Leelan Exp,12467/12468,Jaipur,Jaisalmer,"59,28",lntercity Link Exp,25201/25202,Hajipur,Narkatiaganj,64,
Lichchavi Exp,14005/14006,Sitamarhi,Anand Vihar (T),"22,63",Janta Exp,13201/13202,Rajgir,Lokmanya Tilak (T),24A,
Exp,11903/11904,Virangna,Etawah,33,Latur Exp,16583,Yesvantpur,Latur,60,
,,Lakshmibai,,,Lohit Exp,15651/5652,Guwahati,Jammu Tawi,13,
Exp,12861/12862,Visakhapatnam,H. Nizamuddin,"30,30A",Lokmanya Tilak (T) Exp.,12164,Chennai Egmore,Lokmanya Tilak (T),10A,
Exp,14113/14114,Subedarganj,Dehradun,68,Lokmanya Tilak (T) Exp.,11014,Coimbatore,Lokmanya Tilak (T),"10A,86A",
Exp,16185/16186,Chennai Egmore,Velankanni,21,Lokmanya Tilak (T) Exp.,11018,Karaikal,Lokmanya Tilak,"21A,10A",
Exp,17241/17242,Narasapur,Visakhapatnam,30,,,,(T),,
Exp,18189/18190,Tatanagar,Ernakulam Jn,40,Lokmanya Tilak (T) Exp.,22102,Madurai,Lokmanya Tilak (T),"21A,70",
Exp,18437/18438,Bhubaneswar,Junagarh,40,Lokmanya Tilak (T) Exp.,11054,Azamaarh,Lokmanya Tilak (T),"6A,63",
Exp,18309/18310,Sambalpur,Jammu Tawi,41,Lokmanya Tilak (T) Exp.,11062,Jaynagar,Lokmanya Tilak (T),"6A,22A",
Exp,19579/19580,Bhavnagar,Delhi Sarai Rohilla,"11,23",Lokmanya Tilak (T) Exp.,22179,MGR Chennai,Lokmanya Tilak (T),10A,
Exp,22307/22308,Howrah,Bikaner,"23,65",,,Central,,,
Exp,23225/23226,Saharsa,Danapur,90,Lokmanya Tilak (T) Exp.,11076,Bidar,Lokmanya Tilak (T),53A,
Exp,23347/23348,Rajendra Nagar,Garwa Road,48,Lokmanya Tilak (T) Exp.,11080,Gorakhpur,Lokmanya Tilak (T),"38,39",
Exp,25035/25036,Delhi,Ramnagar,"55,55A",Lokmanya Tilak (T) Exp.,11082,Gorakhpur,Lokmanya Tilak (T),"6A,63A",
Exp,28181/28182,Tatanagar,Katihar,37,Lokmanya Tilak (T) Exp.,12108,Sitapur,Lokmanya Tilak (T),35,
Exp,29655/29656,Indore,Jaipur,"43,54",Lokmanya Tilak (T) Exp.,12142,Patliputra,Lokmanya Tilak (T),24A,
Exp,19307/19308,Indore,Una Himachal,"4,15",Lokmanya Tilak (T) Exp.,12144,Sultanpur,Lokmanya Tilak (T),35,
Exp,19411/19412,Gandhinagar,Daulatpur Chowk,"23,27,80",Lokmanya Tilak (T) Exp.,12146,Puri,Lokmanya Tilak (T),"5,78",
,,Capital,,,Lokmanya Tilak (T) Exp.,12154,Rani Kamalapati,Lokmanya Tilak (T),2,
lndrayani Exp,22105/22106,Chhatrapati Shivaji,Pune,19,Lokmanya Tilak (T) Exp.,12166,Banaras,Lokmanya Tilak (T),6A,
,,Maharaj (T),,,Lokmanya Tilak (T) Exp.,12172,Haridwar,Lokmanya Tilak (T),"2,75A",
Intercity Exp,13233/13234,Danapur,Koderma,67,Lokmanya Tilak (T) Exp.,12335,Bhagalpur,Lokmanya Tilak (T),24A,
lntercity Exp,11651/11652,Jabalpur,Singrauli,73,Lokmanya Tilak (T) Exp.,12812,Hatia,Lokmanya Tilak (T),5,
lntercity Exp,12169/12170,Pune,Solapur,10,Lokmanya Tilak (T) Exp.,12880,Bhubaneswar,Lokmanya Tilak (T),"5,78A",
lntercity Exp,12481/12482,Delhi,Sri Ganganagar,39,Lokmanya Tilak (T) Exp.,14314,Bareilly,Lokmanya Tilak (T),"2,55",
lntercity Exp,15031/15032,Gorakhpur,Lucknow,22,Lokmanya Tilak (T) Exp.,15946,Dibrugarh,Lokmanya Tilak (T),"18A,24A,66",
lntercity Exp,16377/16378,KSR Bengaluru,Ernakulam Jn,86,Lokmanya Tilak (T) Exp.,15648,Guwahati,Lokmanya Tilak (T),"18A,24A",
lntercity Exp,12855/12856,Bilaspur,NSCB Itwari,5,Lokmanya Tilak (T) Exp.,17221,Kakinada,Lokmanya Tilak (T),"10,30",
lntercity Exp,13011/13012,Howrah,Malda Town,14,Lokmanya Tilak (T) Exp.,17317,SSS Hubballi,Lokmanya Tilak (T),19A,
,,,,,Lokmanya Tilak (T) Exp.,18030,Shalimar,Lokmanya Tilak (T),5,
lntercity Exp,13427/13428,Howrah,Sahibganj,37,,,,,,
,,,,,Lokmanya Tilak (T) Exp.,18519,Visakhapatnam,Lokmanya Tilak (T),"10A,30",
lntercity Exp,13465/13466,Howrah,Malda Town,14,,,,,,
,,,,,Lokmanya Tilak (T) Exp.,18609,Ranchi,Lokmanya Tilak (T),"6,41",
lntercity Exp,22329/22330,Haldia,Asansol,87,,,,,,
,,,,,Lokmanya Tilak (T) Exp.,22114,Thiruvanthapuram,Lokmanya Tilak (T),26A,
lntercity Exp,14209/14210,Lucknow,Prayagraj Sangam,25,,,,,,
,,,,,,,North,,,
lntercity Exp,14211/14212,Agra Cantt.,New Delhi,2,,,,,,
,,,,,Lokmanya Tilak (T) Exp.,22130,Prayagraj,Lokmanya Tilak (T),"2,6A,47",
lntercity Exp,15059/15060,Anand Vihar (T),Lalkuan,55,,,,,,
,,,,,Lokmanya Tilak (T) Exp.,22847,VisakhaPatnam,Lokmanya Tilak (T),"5,42",
lntercity Exp,15069/15070,Gorakhpur,Badshahnagar,38,,,,,,
,,,,,Lokmanya Tilak (T) Exp.,22357/22358,Gaya,Lokmanya Tilak (T),"5,5A",
lntercity Exp,15713/15714,Katihar,Patna,90,Lokmanya Tilak (T) Exp.,22865,Puri,Lokmanya Tilak (T),"5,78A",
lntercity Exp,15767/15768,Siliguri,Alipurduar Jn.,74,Lokmanya Tilak (T) Exp.,15181/15182,Lokmanya Tilak (T),Mau,"6,63",
lntercity Exp,15769/15770,Alipurduar,Lumding,"14A,66",LTT- MAO Exp.,11099/11100,Lokmanya Tilak (T),Madaoan,26,
lntercity Exp,16341/16342,Guruvavur,Thiruvananthapuram,85,LTT-Godda Exp,22312/22311,Lokmanya Tilak (T),Godda,24,
lntercity Exp,18003/18004,Howrah,Adra,87,LTT-BPG Exp,22109/22110,Lokmanya Tilak (T),Balhurshah,"5,8",
lntercity Exp,18007/18008,Shalimar,Bhanjpur,87,Loknayak Exp,15115/15116,Chhapra,Delhi,22,TAG-26
,,,,,37,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Lokshakti Exp,22927/22928,Bandra (T),Ahmedabad,11,Mangala Lakshadweep,12617/12618,Ernakulam Jn,H. Nizamuddin,"2,26"
,lslampur Exp,18624,Hatia,lslampur,"36,89",Exp.,,,,
,lspat Exp,12871/12872,Howrah,Titlagarh,5,Mandore Exp,22995/22996,Delhi,Jodhpur,23
,lspat Exp,22861/22862,Howrah,Kantabaji,5,Mandovi Exp,10103/10104,Chhatrapati Shivaji,Madgaon,26
,Lucknow Exp,11407,Pune,Lucknow,"44,35",,Maharaj (T),,,
,Lucknow Exp,12103,Pune,Lucknow,35A,Mangaluru Exp,12133,Chhatrapati Shivaji,Mangaluru Jn.,26
,Lucknow Exp,12107,Lokmanya Tilak (T),Sitapur,35A,,Maharaj (T),,,
,Lucknow Exp,12183,Bhopal,Maa Belha Devi,35A,Mangaluru Exp,12685,MGR Chennai,Mangaluru Central,86
,,,,Dham Pratapgarh,,,Central,,,
,Lucknow Exp,12232,Chandigarh,Lucknow,88,Mangaluru Exp,16159,Chennai Egmore,Mangaluru Central,"21,86"
,Lucknow Exp,15033,Patliputra,Lucknow,22A,Mangaluru Exp,16347,Thiruvananthapuram,Mangaluru Central,85
,Lucknow Exp,12539,Yesvantpur,Lucknow,"17,25",Mangaluru Exp,16565,Yesvantpur,Mangaluru Central,86
,Lucknow Exp,12594,Bhopal,Lucknow,35A,Mangaluru Exp,16575,Yesvantpur,Mangaluru Central,20
,Lucknow Exp,15107/15108,Banaras,Lucknow,12,Mangaluru Exp,16585,SMVT Bengaluru,Murudeswer,19
,Lucknow Exp,15012,Chandigarh,Lucknow,88,Mangaluru Exp,16855,Puducherry,Mangaluru Central,"21A,86"
,Lucknow Exp,15044,Kathaodam,Lucknow,22,Mangaluru Exp,16857,Puducherry,Mangaluru Central,86
,Lucknow Exp,15071,Mau,Lucknow,"25A,52A",Mangaluru Exp,12789,Kacheguda,Mangaluru Central,"2A,26,71A,86"
,Lucknow Exp,15113,Chhapra,Lucknow,82,Mangaluru Mail,12601,MGR Chennai,Mangaluru Central,86
,Lucknow Exp,15203,Barauni,Lucknow,22A,,Central,,,
,Lucknow Exp,16093,MGR Chennai,Lucknow,17A,Mangaluru Exp,16539,Yesvatnpur,Mangaluru Jn,19
,,,Central,,,Mangaluru-Vijayapura,17377/17378,Vijayapura,Mangaluru Central,19
,Lucknow Exp,20921,Bandra (T),Lucknow,"3A,79",Exp,,,,
,Lucknow Exp,19401,Ahmedabad,Lucknow,"23A,79",Mankapur Exp,14125,Prayagraj Sangam,Mankapur,"25A,81"
,Lucknow Exp,19715,Jaipur,Gomti Nagar,79,Manmad Exp,12117,Lokmanya Tilak (T),Manmad,53
,Lucknow Exp,22683,Yesvantpur,Lucknow,"17A,25A,52A",Manmad Exp,17688,Dharmabad,Manmad,53A
,Machilipatnam Exp,12750,Bidar,Machilipatnam,30A,Mannai Exp,16179/16180,Chennai Egmore,Mannaraudi,21
,Machilipatnam Exp,17212,Yesvantpur,Machilipatnam,49,Mannaraudi Exp,22673,Bhagat Ki Kothi,Mannaraudi,"3,8,21,23"
,MachiliPatnam Exp,17401,Tirupati,Machilipatnam/,7,,,,,
,,,,,,Mannaraudi Exp,17407,Tirupati,Mannaraudi,21
,,,,Narasapur,,,,,,
,,,,,,Manuauru Exp,17026,Secunderabad,Manuauru,30A
,Madgaon Exp,22908,Hapa,Madgaon,26,,,,,
,,,,,,Marathwada Samprak K.,12753/12754,H.S. Nanded1,H. Nizamudin,"4,53"
,Madar Exp,19607,Kolkata,Madar,"73,72",,,,,
,,,,,,Marudhar Exp,14853/14854,Banaras,Jodhpur,79
,Madhya Pradesh,12121/12122,Jabalpur,H. Nizamuddin,56,,,,,
,,,,,,Marudhar Exp,14863/14864,Banaras,Jodhpur,79
,Sampark Kranti Exp.,,,,,,,,,
,,,,,,Marudhar Exp,14865/14866,Banaras,Jodhpur,79
,Mahima Gosain,20831/20832,Sambalpur,Shalimar,"7,78",,,,,
,,,,,,Marusagar Exp,12977/12978,Ernakulam Jn,Ajmer,"23,3,26"
,Madurai Exp,22101,Lokmanya Tilak (T),Madurai,"21,70",,,,,
,,,,,,Matsvaaandha Exp,12619/12620,Lokmanya Tilak (T),Mangaluru Central,26
,Madurai Exp,20494,Chandigarh,Madurai,"8,69,86A",,,,,
,Madurai Exp,22715,Kacheguda,Madurai,"52,70",Mau Exp,15072,Lucknow,Mau,25
,Madurai Exp,22623,Chennai Egmore,Madurai,21,Mau Exp,15026,Anand Vihar (T),Mau,25
,Magadh Exp,20801/20802,lslampur,New Delhi,"1,89",Maurya Exp,15027/15028,Sambalpur,Gorakhpur,"36,37,78"
,Mahabodhi Exp,12397/12398,Gaya,New Delhi,1,Maveli Exp,16603/16604,Mangaluru Central,Thiruvananthapuram,85
,Mahakoshal Exp,12189/12190,Jabalpur,H. Nizamuddin,56,Mayiladuturai Exp,16232,Mysuru,Cuddalore Port,69
,Mahalaxmi Exp,17411/17412,Chhatrapati Shivaji,Chhatrapati Shahu,19,Mayiladuturai Exp,16834,Tiruchchirappalli,Mayiladuturai,69
,,,Maharaj (T),Maharaj (T),,Maurakshi Exp,13045/13046,Howrah,Deoghar,36
,Mahamana Exp,19319/19320,Indore,Veeraval,"17,33",Mettupalayam,56137,Udagamandalam,Mettupalayam,97
,Mahamana Exp,19333/19334,Indore,Bikaner,"54,59",Passenger,,,,
,Mahamana Exp,20905/20906,Vadodara,Rewa,"6,34",Mewar Exp,12963/12964,H. Nizamuddin,Udaipur City,3
,Mahamana Exp,22163/22164,Bhopal,Khajuraho,2,MGR Chennai Central,12163,Lokmanya Tilak (T),MGR Chennai,10
,Mahamana Exp,22417/22418,New Delhi,Varanasi,25,Exp,,Central,,
,Mahanagari Exp,22177/22178,Chhatrapati Shivaji,Banaras,6,MGR Chennai Central,22180,Lokmanya Tilak (T),MGR Chennai,10
,,,Maharaj (T),,,Exp,,Central,,
,Maharashtra Exp,11039/11040,Chhatrapati Shahu,Gondia,44,MGR Chennai Central,22652,Palakkad,MGR Chennai,"69,86"
,,,Maharaj (T),,,Exp,,Central,,
,Maharashtra Sampark,12907/12908,Bandra (T),H. Nizamuddin,3,MGR Chennai Central,12291,Yesvantpur,MGR Chennai,20A
,Kranti Exp,,,,,Exp,,Central,,
,Mahuva Exp,12945/12946,Surat,Mahuva,11,MGR Chennai Central,12604,Hyderabad,MGR Chennai,71A
,Mahuva Exp,22989,Bandra (T),Mahuva,11,Exp,,Central,,
,Mahuva Exp,22993,Bandra (T),Mahuva,11,MGR Chennai Central,16552,Mysuru,MGR Chennai,20A
,Malabar Exp,16629/16630,Thiruvananthapuram,Mangaluru Central,85,Exp,,Central,,
,Malani Exp,20487/20488,Barmer,Delhi Sarai Rohilla,23,MGR Chennai Central,12682,Coimbatore,MGR Chennai,86A
,Malda Town Exp,13416,Patna,Malda Town,93,Exp,,Central,,
,Malda Town Exp,13417,Digha,Malda Town,"14,87",MGR Chennai Central,12686,Mangaluru Central,MGR Chennai,86A
,Malda Town Exp,13426,Surat,Malda Town,"34,73",Exp,,Central,,
,Malda Town Exp,13430,Anand Vihar,Malda Town,"18,93,67,25",MGR Chennai Central,12690,Nagercoil,MGR Chennai,"69,86A"
,Malda Town Exp,14004,New Delhi,Malda Town,18,Exp,,Central,,
,Malgudi Exp,20623/20624,KSR Bengaluru,Ashokapuram,20,MGR Chennai Central,12692,Shivmogga Town,MGR Chennai,20A
TAG-26,Malwa Exp,12919/12920,Dr. Amedkar Nagar,Sri Mata Vaishno,"4,16",Exp,,Central,,
,,,,Devi Katra,,MGR Chennai Central,12696,Thiruvanthapuram,MGR Chennai,86A
,,,,,,Exp,North,Central,,
,,,,,38,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
MGR Chennai Central,12698,Thiruvananthapuram,MGR Chennai,86A,Mumbai CSMT Exp,12361,Asansol,Chhatrapati Shivaji,"6A,1A",
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,20853,Bhubaneswar,MGR Chennai,7,Mumbai CSMT Exp,12870,Howrah,Chhatrapati Shivaji,5,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,12839,Howrah,MGR Chennai,7,Mumbai CSMT Exp,22108,Latur,Chhatrapati Shivaji,53A,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,17313,SSS Hubballi,MGR Chennai,"60,71",Mumbai CSMT Exp,22144,Bidar,Chhatrapati Shivaji,11,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,12851,Bilaspur,MGR Chennai,"8,42A",Mumbai CSMT Exp,16332,Thiruvananthapuram,Chhatrapati Shivaji,70,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,12968,Jaipur,MGR Chennai,"3,8",Mumbai CSMT Exp,16340,Nagercoil,Chhatrapati Shivaji,70,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,16004,Nagarsol,MGR Chennai,"53A,71A",Mumbai CSMT Exp,16352,Nagercoil,Chhatrapati Shivaji,"21A,70",
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,16054,Tirupati,MGR Chennai,20A,Mumbai CSMT Exp,16382,Kanniyakumari,Chhatrapati Shivaji,"10A,70",
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,16094,Lucknow,MGR Chennai,17,Mumbai CSMT Exp,22731,Hyderabad,Chhatrapati Shivaji,10A,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,16204,Tirupati,MGR Chennai,20A,Mumbai Mail,22158,MGR Chennai,Chhatrapati Shivaji,10A,
Exp,,,Central,,,,Central,Maharaj (T),,
MGR Chennai Central,20680,SSS Hubballi,MGR Chennai,"19,20A",Mumbai Mail,12321,Howrah,Chhatrapati Shivaji,"1,6",
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,20920,Ektanagar,MGR Chennai,"31,10",Mumbai Mail,12810,Howrah,Chhatrapati Shivaji,5,
Exp,,,Central,,,,,Maharaj (T),,
MGR Chennai Central,22602,Sai Nagar Shirdi,MGR Chennai,"10A,20",Mussoorie Exp,14341/14342,Delhi,Dehradun,75,
Exp,,,Central,,Muzaffarpur Exp,11061,Lokmanya Tilak (T),Muzaffarpur,"6,22",
MGR Chennai Central,22612,New Jalpaiguri,MGR Chennai,29,Muzaffarpur Exp,15002,Dehradun,Muzaffarpur,"13A,64",
Exp,,,Central,,Muzaffarpur Exp,15216,Narkatiaganj,Muzaffarpur,64,
MGR Chennai Central,22640,Alappuzha,MGR Chennai,86A,Muzaffarpur Exp,15227,SMVT Bengaluru,Muzaffarpur,"20A,22A,29A",
Exp,,,Central,,Muzaffarpur Exp,19053,Surat,Muzaffarpur,"3A,33",
MGR Chennai Central,22652,Palakkad,MGR Chennai,"69,86A",Muzaffarpur-Hadapsar,15589/15590,Muzaffarpur,Hadapsar,"6,6A,22",
Exp,,,Central,,Exp,,,,,
MGR Chennai Central,22681,Mysuru,MGR Chennai,20A,Mysuru Exp,22136,Renigunta,Mysuru,20,
Exp,,,Central,,Mysuru Exp,12976,Jaipur,Mysuru,"3,9,52",
MGR Chennai Central,22697,Hubballii,MGR Chennai,"19,20A",Mysuru Exp,16207,Yeshvantpur,Mysuru,19,
Exp,,,Central,,,,,,,
,,,,,Mysuru Exp,16209,Ajmer,Mysuru,"11A,19,23",
MGR Chennai Central,22801,Visakhapatnam,MGR Chennai,7,,,,,,
,,,,,Mysuru Exp,16218,Sai Nagar Shirdi,Mysuru,"19A,60,20,10",
Exp,,,Central,,,,,,,
,,,,,Mysuru Exp,16226,Shivamogga Town,Mysuru,19,
MGR Chennai Central,22825,Shalimar,MGR Chennai,7,,,,,,
,,,,,Mysuru Exp,22688,Varanasi,Mysuru,19A,
Exp,,,Central,,,,,,,
,,,,,Mysuru Exp,16231,Cuddalore Port,Mysuru,69A,
MGR Chennai Central,22859,Puri,MGR Chennai,7,,,,,,
,,,,,Mysuru Exp,17302,Belagavi,Mysuru,19,
Exp,,,Central,,,,,,,
,,,,,Mysuru Exp,22682,MGR Chennai,Mysuru,20,
MGR Chennai Central,22869,Visakhapatnam,MGR Chennai,"7,7A",,,,,,
,,,,,,,Central,,,
Exp,,,Central,,,,,,,
,,,,,Mysuru Exp,22817,Howrah,Mysuru,"7,20",
MGR Chennai Central,22159,Chhatrapati Shivaji,MGR Chennai,10,,,,,,
,,,,,Nabadwipdham Exp.,13422,Malda Town,Nabadwipdham,14A,
Mail,,Maharaj (T),Central,,,,,,,
,,,,,Nabadwipdham Exp.,13432,Balurghat,Nabadwipdham,14,
MGR Chennai Central,12602,Mangaluru Central,MGR Chennai,86A,,,,,,
Mail,,,Central,,Nagaon Exp.,15629/15630,Tambaram,Silghat Town,"29,74",
MGR Chennai Central,12839,Howrah,MGR Chennai,7,Nagarsol Exp,16003,MGR Chennai,Nagarsol,"7,53",
Mail,,,Central,,,,Central,,,
Millennium Exp,12645/12646,Ernakulam Jn,H. Nizamuddin,"8,86",Nagarsol Exp,12787,Narsapur,Nagarsol,"30,53A",
Chhatrapati Shahu,22155,Kalaburagi,Chhatrapati Shahu,10A,Namo Bharat ,94801/94802,Ahmedabad,Bhuj,11,
Maharaj (T) Exp,,,Maharaj (T),,Rapid Rail,,,,,
Mithila Exp,13021/13022,Howrah,Raxaul,"37,64",Namo Bharat Rapid,94803/94804,Danapur,Jaynagar,90,
Mithilanchal Exp,13155/13156,Kolkata,Darbhanga,37,Rail,,,,,
Mokamah Exp,13029,Howrah,Mokamah,1,Nagarsol Exp,17231,Narsapur,Nagarsol,"30,53A",
Mour Dhwaj Exp,14691/14692,Barauni,Jammu Tawi,13,Nanded Exp,20809,Sambalpur,Hazur Sahib,"30,40",
,,,,,,,,Nanded,,
Mumbai Central Exp.,12928,Vadodara,Mumbai Central,11A,,,,,,
Mumbai Central Exp.,12956,Jaipur,Mumbai Central,3,Nagercoil Exp,12667,Chennai Egmore,Nagercoil,21,
Mumbai Central Exp.,22452,Chandigarh,Mumbai Central,"11A,23A,27A",Nagercoil Exp,12689,MGR Chennai,Nagercoil,"69,86",
,,,,,,,Central,,,
Mumbai CSMT Exp,22160,MGR Chennai,Chhatrapati Shivaji,10A,,,,,,
,,,,,Nagercoil Exp,16335,Gandhidham,Nagercoil,26,
,,Central,Maharaj (T),,,,,,,
,,,,,Nagercoil Exp,16339,Chhatrapati Shivaji,Nagercoil,70,
Mumbai CSMT Exp,11140,Hospete,Chhatrapati Shivaji,19A,,,,,,
,,,,,,,Maharaj (T),,,
,,,Maharaj (T),,,,,,,
,,,,,Nagercoil Exp,16351,Chhatrapati Shivaji,Nagercoil,"21,70",
Mumbai CSMT Exp,12112,Amravati,Chhatrapati Shivaji,5,,,,,,
,,,,,,,Maharaj (T),,,
,,,Maharaj (T),,,,,,,
,,,,,Nagercoil Exp,16353,Kacheguda,Nagercoil,70,
Mumbai CSMT Exp,12134,Mangaluru Jn.,Chhatrapati Shivaji,26A,,,,,,
,,,,,Kanyakumari Exp,16381,Pune,Kanniyakumari,"10,70",
,,,Maharaj (T),,,,,,,TAG-26
,,,,,39,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Nagercoil Exp,17235,SMVT Bengaluru,Nagercoil,69,Okha Exp,19251,Somnath,Okha,76
,Nagercoil Exp,22657,Tambaram,Nagercoil,21,Okha Exp,19574,Jaipur,Okha,"11,23"
,Nagercoil Exp,22668,Coimbatore,Nagercoil,69,Okha Exp,19576,Nathdwara,Okha,"11,54"
,Nagpur Exp,11404,Chhatrapati Shahu,Nagpur,44,Okha Exp,22970,Banaras,Okha,"3,33A,34A,65"
,,,Maharaj (T),,,Okha Link Exp,22906,Howrah,Okha,34A
,Nagpur Exp,12135,Pune,Nagpur,44,Padatik Exp,12377/12378,Sealdah,New Alipurduar,14
,Nagpur Exp,12771,Secunderabad,Raipur,9,Padmavati Exp,12763/12764,Tirupati,Secunderabad,71
,Nagpur Exp,12923,Indore,Nagpur,"2A,8",Padmavati Exp,14207/14208,Maa Belha Devi,Delhi,25
,Nagpur Exp/Passr.,18239,Gevra Road,Nagpur,"5,42",,,Dham Pratapgarh,,
,Naharlagun Exp,15907,Tinsukhia,Naharlagan,61,Paharia Exp,15721/12722,Digha,New Jalpaiauri,14
,Nainital Exp,15307/15308,Bareilly,Aishbaah,61,Palace Queen Humsafar,19667/19668,Udaipur,Mysuru,"3,19,54"
,Nanda Devi Exp,12401/12402,Dehradun,Kota,"3,75",Palamau Exp,13347,Barkakana,Patna,48
,Nandankanan Exp,12815/12816,Puri,Anand Vihar (T),32,Palani Exp,22651,MGR Chennai,Palani,"69,86"
,Nandigram Exp,11001/11002,Chhatrapati Shivaji,Balharshah,53,,,Central,,
,,,Maharaj (T),,,Palanpur Exp,19152,Gandhidham,Palanpur,11A
,Nangaldam Exp,12325,Kolkata,Nangaldam,12,Palaruvi Exp,16791/16792,Tuticorin,Palakkad,86
,Nangaldam Exp,14505,Amritsar,Nangaldam,15A,Palitana Exp,22935,Bandra (T),Palitana,"11,76"
,Nangaldam Exp,22709,Huzur Sahib,Una Himachal,"2,27A,53",Pallavan Exp,12605/12606,Chennai Egmore,Karaikudi,21
,,,Nanded,,,Palnadu Exp,12747/12748,Guntur,Vikarabad,30
,Naravanadri Exp,12733/12734,Tirupati,Lingampalli,71,Pamani Exp,17407/17408,Tirupati,Mannaraudi,21
,Narkatiaganj Exp,15215,Muzaffarpur,Narkatiaganj,64A,Panchavati Exp,12109/12110,Chhatrapati Shivaji,Manmad Jn,53
,Narmada Exp/Passr.,18233/18234,Indore,Bilaspur,43,,,Maharaj (T),,
,Narsapur Exp,12788,Nagarsol,Narsapur,"30A,53",Panchganga Exp,16595/16596,KSR Bengaluru,Karwar,26
,Narsapur Exp,17232,Nagarsol,Narsapur,"30A,53",Pandharpur Exp,16541,Yesvantpur,Pandharpur,19A
,Narsapur Exp,17256,Hvderabad,Narsapur,30A,Pandivan Exp,12637/12638,Chennai Egmore,Madurai,21
,Nathdwara Exp,19575,Okha,Nathdwara,"11A,54A",Panvel Exp,17614,Hazur Sahib,Panvel,44A
